member_id	start_date	DURATION	INT_MEAN	INT_PEAK	AUC	log_SEVERITY_1	log_SEVERITY_2	MV [D,I]	COMPINDX_k3_ss404	COMPINDX_k4_ss355	COMPINDX_k5_ss372
r10i1181p1f1	1851-06-10	5	1.803	1.956	3.509	3.0520253072041865	3.694658042496569	(5, 1.803)	1	1	4
r10i1181p1f1	1852-08-01	4	1.568	1.92	1.868	2.6059436448308344	2.7690825829104937	(4, 1.568)	1	0	0
r10i1181p1f1	1853-06-11	9	1.37	2.078	2.422	3.6373229671995344	4.195606690953764	(9, 1.37)	1	0	1
r10i1181p1f1	1853-08-05	5	1.492	1.579	1.956	2.872494412410056	3.1297711232731027	(5, 1.492)	1	0	0
r10i1181p1f1	1854-07-23	4	1.32	1.528	0.877	2.4475508632442313	2.081439544342509	(4, 1.32)	0	3	3
r10i1181p1f1	1855-07-08	15	1.618	1.936	7.75	4.553848531329487	6.1119867478165615	(15, 1.618)	2	2	2
r10i1181p1f1	1856-08-24	9	1.403	1.852	2.715	3.6605056994260896	4.3081782442105325	(9, 1.403)	1	0	1
r10i1181p1f1	1857-07-03	6	1.447	1.691	2.076	3.103081957112869	3.450331748050929	(6, 1.447)	1	0	0
r10i1181p1f1	1857-08-15	8	1.869	2.567	6.142	3.7679365000872713	4.941482375527659	(8, 1.869)	2	2	2
r10i1181p1f1	1858-07-20	6	1.254	1.367	0.913	2.9668162471598656	2.6684985667608783	(6, 1.254)	0	3	3
r10i1181p1f1	1859-06-14	6	2.201	2.779	6.6	3.506996647350948	4.584965374731765	(6, 2.201)	2	1	4
r10i1181p1f1	1859-08-27	5	1.454	1.663	1.763	2.848172321876267	3.0306620254974934	(5, 1.454)	1	0	0
r10i1181p1f1	1860-06-06	3	1.513	1.762	1.234	2.1817474911467234	2.0031073361399168	(3, 1.513)	1	0	0
r10i1181p1f1	1860-07-20	3	1.336	1.524	0.705	2.0721726417133604	1.5397206625073199	(3, 1.336)	0	3	3
r10i1181p1f1	1864-08-08	8	1.685	2.252	4.671	3.666817817035665	4.669952409904437	(8, 1.685)	2	1	4
r10i1181p1f1	1865-06-08	7	1.604	1.909	3.519	3.4244742192030913	4.192269382168603	(7, 1.604)	1	1	1
r10i1181p1f1	1865-06-24	7	1.587	1.842	3.398	3.414167942886387	4.1578175265584605	(7, 1.587)	1	0	1
